name,price,location,reviews,link,date
LENOVO IdeaPad Slim 5i 14IIL05 i5-1035G1 8GB 512GB MX330 Win10 + OHS - Grey K6ID,10.999.900,Jakarta Pusat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyF6ArdH_nDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnfH_Kfo_HRbm-srcHi6s1FHmFiy3zwrfo5rM1i6sJh6AKXHsKdoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_uHqBuN_92SP7Y1u9Bo8MPR_Ozu81NAZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1jp_M2tQu2kzMxqepnh_7z6qjh11MBvu7B7_7Po81YAHAV6z72W392ZQ1NJu9Bouco2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gRBMZIxp_3OdPMep8AxizJgpysoj6cgc_jgZHAVcuchZgBouo1u983zp3BrOPMzW6cPxuO-D3uxmqV2AgczMZIxayp-3QMgU8I2jzpJdgjg6zBUFH1g1QV-M1B1OZVPNgIoqupufgc7dgfV91Mhg3J-t3jojgJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Oku_uHqjVE_7zSH7Nk1_o6qMDh_M2Sq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81YJu9uoqj7F_7zgH1NJZ9x68j7p_9BG6ZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUjuH6c-iQ3tWuAoS_frOZR-ArugB81KF6VzdzVBg3cJFqSBtQSBqPJz6q3WhZjjhPp1OuBY_rJJho9Csg3uVz3N1Z9VxgJ-gqJgsrjome3N0PjBo1juo9fWc1f-mofPFouusuMucQjxCyMxsg_yhQc-UPIjOoszNesCqHRnN69V_UiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthHaFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEH_HDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6_HFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjd6ZUDUseFHAKibmUp6_jhUiFiHpjdoi-Pwe?r=https%3A%2F%2Fwww.tokopedia.com%2Fprinterstore%2Flenovo-ideapad-slim-5i-14iil05-i5-1035g1-8gb-512gb-mx330-win10-ohs-grey-k6id%3Fsrc%3Dtopads&src=search&is_search=1&keywords=lenovo+ideapad&ob=23&t=desktop&page=7&management_type=2&dv=desktop,24-11-2020
Lenovo Ideapad Slim 3 AMD Athlon 3050U 4GB 256GB SSD Windows 10 - Grey,6.396.000,Jakarta Pusat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprpHsKFopJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnfH_Kfo_HRbm-srcHi6syOHmFiy3zwrfo5rM1i6sJhHprXopnFomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_oHqBVR_S2zP7NE19P68BVR_S2zP7Nk33BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_S2goV2W39xguOV7_BzS8BBNHACgqMh2_VztqjOkgRz6uV-23MOoHV2k1_Voqj1pZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjz6gjOEqpzoQSKdyjzGrfUpgAxMzRPdyjrNHfgU8VzZu3z61B1OuuKFQJYZzSoXyjP3P3Up3Sg-zfh03BPcPOB913Ny3IKdy_o6QVtp8AxsHO-7gjxduV-ugJNZu_uu3AC3_OUhrfNizOgOysoqPjBIQcWqu7gR3uPzQBx_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_ovepe7_1zsH1Y13_uo8MWE_1z0o1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkyR2HqjJO_uzsoJNkZ_u6zcDa_32gq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-V_AxiyMOkbuepg7YSo1WaeRV3g9BUHAx18Jzg3uxxHc2NqcNN3SzJ_MB0r12-H9rOougw1RCCH_uFyfuBz1uXuJBhy3zm33xcyR-AejVXqRg-_u-V_uY0zBoiesPSrAuuyOgBzMNUe3-tyf1fH3hiZIzNo_y781UF3soF6_Bh1aUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_HDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sJpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsn7oAyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KNUiFioAnF6mUDUsHN6_JibmUp6_KfUBOY?is_search=1&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fstudiolaptop%2Flenovo-ideapad-slim-3-amd-athlon-3050u-4gb-256gb-ssd-windows-10-grey%3Fsrc%3Dtopads&src=search&keywords=lenovo+ideapad&t=desktop&page=7&dv=desktop&management_type=1,24-11-2020
LAPTOP LENOVO IDEAPAD SLIM 5-CORE i5 1035G1-8GB-SSD 512GB-MX 330-IPS,11.323.100,Surabaya, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEop1ho_ehopUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnfH_Kfo_HRbm-srcHi6seFHmFiy3zwrfo5rM1i6sJhHsJXo_UdHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_ep_1zoH7OJ__oozJ7p_1zoH7OJ_92-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkZ9u6uV1p_BzzHJNEu_oozJOE_32zoJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qMHa_7PqQ1O9zMWHuV17__-oPJNIZ_ugq_n7392-oJh1u_CgQu2k_jPgHJN1Z9x681BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2oo1YJZsxMzRPNyjrNHfgU8IoouRxfgAod6V1Fujx1uugvujyNZBz01M-GHSxDyM7NHM-NeSCqzOgty7Pcq7thH_xMzRzE3BPj6cgU_sCi3IKdu_C3ZVzuujY3zsBcucWjyjta8chiQ_jaySBmrV2IuMxsz7g0ZsJFq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81YJZ9u6zVuR_M2uo1YJqpu6zcrO_MB-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-HjY_oIBozcD7_7zoHJOk__o6qMWNZ3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUjuH6c-iQ3tWuAoS_frOZR-ArugB81KF6VzdzVBg3cJFqSBtQSBqPJz6q3WhZjjhPp1OuBY_rJJho9Csg3uVz3N1Z9VxgJ-gqJgsrjome3N0PjBo1juo9fWc1f-mofPFouusuMucQjxCyMxsg_yhQc-UPIjOoszNesCqHRnN69V_UiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthHaFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEH_HDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstaosUNomFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AjibmU7HAndUiFiHpjNHZUDUsHN6Ayi997?ob=23&src=search&management_type=1&dv=desktop&is_search=1&t=desktop&page=7&r=https%3A%2F%2Fwww.tokopedia.com%2Fmur4hk0m%2Flaptop-lenovo-ideapad-slim-5-core-i5-1035g1-8gb-ssd-512gb-mx-330-ips%3Fsrc%3Dtopads&keywords=lenovo+ideapad,24-11-2020
Lenovo Ideapad V130-15IGM with 4GB RAM and 15 inch HD LED INTEL N4000,4.554.596,Surabaya, 4,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_KN6AydHAHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnfH_Kfo_HRbm-srcHi6sHOHmFiy3zwrfo5rM1i6sJF6_KXH_1fbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-H7hk3_uoqjOR_S2go1Ok_9P68BjO_32uq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfB68Bj73MOg8VB919z6ucPE39jFHVBkQcBHucxk_32SPJN11MBqQ17F3M2zH1Okz_o-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJNM_920oJOX8AxizJ2pysoj6cgIPRxizpjpgjxduV-ugJNZu_uu3ACD_O-crfNizOgOysoqPjBIQcWqu7gR3uPzQBxy8AxxH7ND3sod6cHp1SzMZIx11Buj_B-uouuyHVgv1sVpQM-IuSuiHO2fZ1PDqO29zSPguOVX3Vo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-H1ONoAuvuVjh_OzzoJNkyRBo8B1aZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32g8jhku_uvuVBR_M2CHjYJu_ovzcrhZ3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUjuH6c-iQ3tWuAoS_frOZR-ArugB81KF6VzdzVBg3cJFqSBtQSBqPJz6q3WhZjjhPp1OuBY_rJJho9Csg3uVz3N1Z9VxgJ-gqJgsrjome3N0PjBo1juo9fWc1f-mofPFouusuMucQjxCyMxsg_yhQc-UPIjOoszNesCqHRnN69V_UiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthHaFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEH_HDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstaHAe7oiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AjibmU7HAndUiFiHpjNHZUDUsHN6Ayi997?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmurahkom%2Flenovo-ideapad-v130-15igm-with-4gb-ram-and-15-inch-hd-led-intel-n4000%3Fsrc%3Dtopads&page=7&ob=23&management_type=1&t=desktop&is_search=1&src=search&keywords=lenovo+ideapad,24-11-2020
PROMO LAPTOP LENOVO IDEAPAD V130-15IGM-INTEL N4000-RAM 4GB-15inch-SALE - RAM 4GB STANDRT,4.555.090,Surabaya, 4,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHpr7HAKFoAyDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnfH_Kfo_HRbm-srcHi6seFHmFiy3zwrfo5rM1i6sJhH_jXoA1h6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_zHqBjO_BzgH1Okz_oo8MWd_92CHJONZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1jp_M2tQu2kzMxqepnh_7z6qjh11MBvu7B7_7Po81YAHAV6z72W392ZQ1NJu9Bouco2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gRBMZIxp_3OdPMep8AxizJgpysoj6cgc_jgZHAVcuchZgBouo1u983zp3BrOPMzW6cPxuO-D3uxmqV2AgczMZIxayp-3QMgU8I2jzpJdgjg6zBUFH1g1QV-M1B1OZVPNgIoqupufgc7dgfV91Mhg3J-t3jojgJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Oku_zHqjVd_M2sH7OJqpVvuJ77_7zzH1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Ok3_zHqMod_uzz81OJe_zo8BVd_S2Sq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-V_AxiyMOkbuepg7YSo1WaeRV3g9BUHAx18Jzg3uxxHc2NqcNN3SzJ_MB0r12-H9rOougw1RCCH_uFyfuBz1uXuJBhy3zm33xcyR-AejVXqRg-_u-V_uY0zBoiesPSrAuuyOgBzMNUe3-tyf1fH3hiZIzNo_y781UF3soF6_Bh1aUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_HDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sJpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsya6_eDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KNUiFioAnF6mUDUsHN6_JibmUp6_KfUBOY?page=7&ob=23&dv=desktop&is_search=1&keywords=lenovo+ideapad&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmur4hk0m%2Fpromo-laptop-lenovo-ideapad-v130-15igm-intel-n4000-ram-4gb-15inch-sale-ram-4gb-standrt%3Fsrc%3Dtopads&src=search&management_type=1,24-11-2020
LENOVO IDEAPAD 330 - AMD A6-9225,6.000.085,Medan, 2,https://www.tokopedia.com/moshimeney/lenovo-ideapad-330-amd-a6-9225?whid=0,24-11-2020
"LENOVO IDEAPAD SLIM 3 i3 1005G1 4GB 256 SSD 14"" FHD WIN 10 FREE OHS 19",7.989.000,Jakarta Pusat, 1,https://www.tokopedia.com/trustitstore/lenovo-ideapad-slim-3-i3-1005g1-4gb-256-ssd-14-fhd-win-10-free-ohs-19?whid=0,24-11-2020
Laptop Lenovo Ideapad 110 intel Dualcore/Ram 2gb/Hdd 500gb/Win10,3.750.000,Jakarta Barat, 1,https://www.tokopedia.com/insyaaloh/laptop-lenovo-ideapad-110-intel-dualcore-ram-2gb-hdd-500gb-win10?whid=0,24-11-2020
"LENOVO IDEAPAD 330 (NEW) AMD A9-9425 RAM 4GB HDD 1TB LAYAR 14"" RESMI!!",5.299.000,Jakarta Utara, 5,https://www.tokopedia.com/suntech/lenovo-ideapad-330-new-amd-a9-9425-ram-4gb-hdd-1tb-layar-14-resmi?whid=0,24-11-2020
Lenovo IdeaPad S145 Grey,7.700.000,Jakarta Pusat, 1,https://www.tokopedia.com/cockomputer/lenovo-ideapad-s145-grey?whid=0,24-11-2020
"Laptop Lenovo 14"" Ideapad 500",9.675.000,Jakarta Barat, 19,https://www.tokopedia.com/pageel/laptop-lenovo-14-ideapad-500?whid=0,24-11-2020
LENOVO IDEAPAD 130 ip130 # A4 4GB W10 !!,3.443.000,Jakarta Utara, 1,https://www.tokopedia.com/orka/lenovo-ideapad-130-ip130-a4-4gb-w10?whid=0,24-11-2020
Lenovo Ideapad 330 - 14AST,6.000.000,Jakarta Barat, 2,https://www.tokopedia.com/anitakomputer/lenovo-ideapad-330-14ast?whid=0,24-11-2020
Lenovo Ideapad 110 / N3160 / 2GB / 500GB / Super Slim,3.375.000,Jakarta Barat, 5,https://www.tokopedia.com/audioworld/lenovo-ideapad-110-n3160-2gb-500gb-super-slim?whid=0,24-11-2020
Lenovo Ideapad 500-14ACZ,6.750.000,Jakarta Utara, 1,https://www.tokopedia.com/majusuksesjaya/lenovo-ideapad-500-14acz?whid=0,24-11-2020
LENOVO IdeaPad Slim 5i 14IIL05 i5-1035G1 8GB 512GB MX330 Win10 + OHS - Grey K6ID,10.999.900,Jakarta Pusat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyF6ArdH_nDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnfH_Kfo_HNbm-srcHi6s1FHmFiy3zwrfo5rM1i6sJh6AKXHsKdoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_uHqBuN_92SP7Y1u9Bo8MPR_Ozu81NAZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq12t_MO3qjOJ39Pg1pVk3M2o81h1192ouJV73uzZqJO_HIBqzVgk3uzg817a__C6uVB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gRBMZIxp_3OdPMep8AxizJgpysoj6cgc_jgZHAVcuchZgBouo1u983zp3BrOPMzW6cPxuO-D3uxmqV2AgczMZIxayp-3QMgU8I2jzpJdgjg6zBUFH1g1QV-M1B1OZVPNgIoqupufgc7dgfV91Mhg3J-t3jojgJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1Oku_uHqjVE_7zSH7Nk1_o6qMDh_M2Sq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81YJu9uoqj7F_7zgH1NJZ9x68j7p_9BG6ZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUjuH6c-iQ3tWuAoS_frOZR-ArugB81KF6VzdzVBg3cJFqSBtQSBqPJz6q3WhZjjhPp1OuBY_rJJho9Csg3uVz3N1Z9VxgJ-gqJgsrjome3N0PjBo1juo9fWc1f-mofPFouusuMucQjxCyMxsg_yhQc-UPIjOoszNesCqHRnN69V_UiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthHiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEH_UDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6_HFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjd6ZUDUseFHAKibmUp6_jhUiFiHpjdoi-Pwe?src=search&page=8&management_type=2&t=desktop&is_search=1&ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fprinterstore%2Flenovo-ideapad-slim-5i-14iil05-i5-1035g1-8gb-512gb-mx330-win10-ohs-grey-k6id%3Fsrc%3Dtopads&keywords=lenovo+ideapad,24-11-2020
Lenovo Ideapad Slim 3 AMD Athlon 3050U 4GB 256GB SSD Windows 10 - Grey,6.396.000,Jakarta Pusat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprpHsKFopJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnfH_Kfo_HNbm-srcHi6syOHmFiy3zwrfo5rM1i6sJhHprXopnFomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_oHqBVR_S2zP7NE19P68BVR_S2zP7Nk33BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY23uzqQVBEe_-oz7u73_-g8jO2HACo8juR_VPVHVB1z9zoQuJh3_-VHjOk_M26zV1aZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjz6gjOEqpzoQSKdyjzGrfUpgAxMzRPdyjrNHfgU8VzZu3z61B1OuuKFQJYZzSoXyjP3P3Up3Sg-zfh03BPcPOB913Ny3IKdy_o6QVtp8AxsHO-7gjxduV-ugJNZu_uu3AC3_OUhrfNizOgOysoqPjBIQcWqu7gR3uPzQBx_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_ovepe7_1zsH1Y13_uo8MWE_1z0o1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkyR2HqjJO_uzsoJNkZ_u6zcDa_32gq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-V_AxiyMOkbuepg7YSo1WaeRV3g9BUHAx18Jzg3uxxHc2NqcNN3SzJ_MB0r12-H9rOougw1RCCH_uFyfuBz1uXuJBhy3zm33xcyR-AejVXqRg-_u-V_uY0zBoiesPSrAuuyOgBzMNUe3-tyf1fH3hiZIzNo_y781UF3soF6_Bh1aUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_UDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sJabm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsn7oAyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KNUiFioAnF6mUDUsHN6_JibmUp6_KfUBOY?management_type=1&t=desktop&ob=23&src=search&is_search=1&keywords=lenovo+ideapad&page=8&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fstudiolaptop%2Flenovo-ideapad-slim-3-amd-athlon-3050u-4gb-256gb-ssd-windows-10-grey%3Fsrc%3Dtopads,24-11-2020
LAPTOP LENOVO IDEAPAD SLIM 5-CORE i5 1035G1-8GB-SSD 512GB-MX 330-IPS,11.323.100,Surabaya, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEop1ho_ehopUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnfH_Kfo_HNbm-srcHi6seFHmFiy3zwrfo5rM1i6sJhHsJXo_UdHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_ep_1zoH7OJ__oozJ7p_1zoH7OJ_92-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkZ9u6uV1p_BzzHJNEu_oozJOE_32zoJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q11a3BPoP7NkeMxHu7NW_92-PJNJ_9xoepVt_jPV8Jh1ZMW6u7Nt_M2-8BBE1_V6q1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PE3I2oo1YJZsxMzRPNyjrNHfgU8IoouRxfgAod6V1Fujx1uugvujyNZBz01M-GHSxDyM7NHM-NeSCqzOgty7Pcq7thH_xMzRzE3BPj6cgU_sCi3IKdu_C3ZVzuujY3zsBcucWjyjta8chiQ_jaySBmrV2IuMxsz7g0ZsJFq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81YJZ9u6zVuR_M2uo1YJqpu6zcrO_MB-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-HjY_oIBozcD7_7zoHJOk__o6qMWNZ3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUjuH6c-iQ3tWuAoS_frOZR-ArugB81KF6VzdzVBg3cJFqSBtQSBqPJz6q3WhZjjhPp1OuBY_rJJho9Csg3uVz3N1Z9VxgJ-gqJgsrjome3N0PjBo1juo9fWc1f-mofPFouusuMucQjxCyMxsg_yhQc-UPIjOoszNesCqHRnN69V_UiFiy3hSUstirRzW9fWpg3PwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthHiFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdHB7DUMNwyfVXgcBjy9zB9fVjraUEH_UDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstaosUNomFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AjibmU7HAndUiFiHpjNHZUDUsHN6Ayi997?dv=desktop&src=search&is_search=1&ob=23&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fmur4hk0m%2Flaptop-lenovo-ideapad-slim-5-core-i5-1035g1-8gb-ssd-512gb-mx-330-ips%3Fsrc%3Dtopads&t=desktop&keywords=lenovo+ideapad&page=8,24-11-2020
